IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
4.255.56.137,443,true,IAD,北美洲,US,美国,阿什本,230 ms,4.39
172.200.2.241,443,true,IAD,北美洲,US,美国,阿什本,203 ms,3.55
20.52.104.187,443,true,KIX,亚太,JP,日本,大阪,449 ms,2.37
52.149.136.203,443,true,IAD,北美洲,US,美国,阿什本,233 ms,2.24
20.25.205.37,2053,true,ORD,北美洲,US,美国,芝加哥,186 ms,2.20
20.151.60.161,8443,true,YYZ,北美洲,CA,加拿大,多伦多,195 ms,2.06
20.151.238.192,8443,true,YYZ,北美洲,CA,加拿大,多伦多,201 ms,2.05
40.79.73.114,8443,true,IAD,北美洲,US,美国,阿什本,215 ms,1.75
20.228.249.211,8443,true,IAD,北美洲,US,美国,阿什本,253 ms,1.64
172.212.108.47,443,true,IAD,北美洲,US,美国,阿什本,211 ms,1.55
4.172.225.98,8443,true,YYZ,北美洲,CA,加拿大,多伦多,200 ms,1.52
20.151.63.165,8443,true,YYZ,北美洲,CA,加拿大,多伦多,203 ms,1.46
40.123.47.225,8443,true,IAD,北美洲,US,美国,阿什本,244 ms,1.45
4.206.223.188,8443,true,YYZ,北美洲,CA,加拿大,多伦多,198 ms,1.36
4.172.225.82,8443,true,YYZ,北美洲,CA,加拿大,多伦多,193 ms,1.35
104.46.101.90,8443,true,IAD,北美洲,US,美国,阿什本,203 ms,1.33
4.219.15.140,8443,true,CPH,欧洲,DK,丹麦,哥本哈根,258 ms,1.29
104.46.111.142,8443,true,IAD,北美洲,US,美国,阿什本,196 ms,1.26
20.109.23.42,443,true,IAD,北美洲,US,美国,阿什本,192 ms,1.24
20.74.223.241,443,true,ORD,北美洲,US,美国,芝加哥,390 ms,1.12
158.23.81.224,8443,true,DFW,北美洲,US,美国,达拉斯,189 ms,1.08
4.182.90.213,443,true,FRA,欧洲,DE,德国,法兰克福,275 ms,1.08
137.116.91.147,8443,true,IAD,北美洲,US,美国,阿什本,239 ms,1.07
20.25.205.37,8443,true,ORD,北美洲,US,美国,芝加哥,199 ms,1.03
20.200.127.8,8443,true,YYZ,北美洲,CA,加拿大,多伦多,244 ms,1.03
20.62.202.159,443,true,IAD,北美洲,US,美国,阿什本,242 ms,1.01
