IP地址,端口,TLS,数据中心,地区,国际代码,国家,城市,网络延迟,下载速度MB/s
183.240.196.236,443,true,HKG,亚太,HK,香港,香港,46 ms,60.87
43.207.120.18,5432,true,NRT,亚太,JP,日本,东京,42 ms,42.51
52.193.22.156,50996,true,NRT,亚太,JP,日本,东京,44 ms,36.81
52.195.143.118,9002,true,NRT,亚太,JP,日本,东京,50 ms,36.64
61.220.128.223,81,true,TPE,亚太,TW,台湾,台北,67 ms,24.46
138.2.40.152,587,true,NRT,亚太,JP,日本,东京,182 ms,22.65
45.78.53.43,2501,true,KIX,亚太,JP,日本,大阪,94 ms,21.23
103.106.230.186,81,true,HKG,亚太,HK,香港,香港,77 ms,20.33
137.220.150.176,587,true,SIN,亚太,SG,新加坡,新加坡,84 ms,19.92
137.220.150.242,587,true,SIN,亚太,SG,新加坡,新加坡,76 ms,19.66
137.220.150.20,587,true,SIN,亚太,SG,新加坡,新加坡,89 ms,19.65
140.83.82.88,1443,true,KIX,亚太,JP,日本,大阪,151 ms,13.96
152.70.82.70,1450,true,KIX,亚太,JP,日本,大阪,179 ms,10.69
210.61.97.241,81,true,KHH,亚太,TW,台湾,高雄,85 ms,10.23
121.84.197.227,12314,true,KIX,亚太,JP,日本,大阪,93 ms,9.54
61.227.151.127,10000,true,SJC,北美洲,US,美国,圣何塞,222 ms,9.19
210.97.31.49,33389,true,ICN,亚太,KR,韩国,首尔,105 ms,9.17
110.15.107.178,10088,true,ICN,亚太,KR,韩国,首尔,95 ms,9.12
121.140.177.226,11300,true,ICN,亚太,KR,韩国,首尔,92 ms,9.05
221.161.118.96,10443,true,ICN,亚太,KR,韩国,首尔,80 ms,9.04
221.165.39.154,18084,true,ICN,亚太,KR,韩国,首尔,84 ms,9.02
121.159.187.248,20201,true,ICN,亚太,KR,韩国,首尔,93 ms,8.94
218.147.13.205,30700,true,ICN,亚太,KR,韩国,首尔,114 ms,8.84
23.94.180.18,10011,true,LAX,北美洲,US,美国,洛杉矶,195 ms,8.82
125.180.223.126,19150,true,ICN,亚太,KR,韩国,首尔,91 ms,8.81
220.71.116.165,12388,true,FUK,亚太,JP,日本,福冈,101 ms,8.77
14.43.88.199,10001,true,FUK,亚太,JP,日本,福冈,91 ms,8.76
58.124.161.15,32400,true,ICN,亚太,KR,韩国,首尔,110 ms,8.71
221.156.180.102,10250,true,ICN,亚太,KR,韩国,首尔,132 ms,8.69
183.103.248.48,10088,true,ICN,亚太,KR,韩国,首尔,119 ms,8.63
106.244.196.196,30005,true,ICN,亚太,KR,韩国,首尔,90 ms,8.60
61.84.78.175,18110,true,KIX,亚太,JP,日本,大阪,267 ms,8.58
112.161.21.160,10086,true,ICN,亚太,KR,韩国,首尔,145 ms,8.57
124.49.17.207,19999,true,ICN,亚太,KR,韩国,首尔,95 ms,8.51
110.15.107.178,12192,true,KIX,亚太,JP,日本,大阪,125 ms,8.47
175.198.138.31,21500,true,ICN,亚太,KR,韩国,首尔,101 ms,8.28
175.212.228.178,50011,true,ICN,亚太,KR,韩国,首尔,88 ms,8.19
211.219.44.149,50003,true,ICN,亚太,KR,韩国,首尔,94 ms,8.14
125.136.126.165,10255,true,ICN,亚太,KR,韩国,首尔,89 ms,8.13
39.122.89.195,20201,true,KIX,亚太,JP,日本,大阪,134 ms,8.09
114.201.80.59,30001,true,ICN,亚太,KR,韩国,首尔,87 ms,8.09
57.180.53.206,50001,true,SEA,北美洲,US,美国,西雅图,71 ms,8.08
14.32.136.88,20000,true,ICN,亚太,KR,韩国,首尔,81 ms,8.01
14.49.168.244,10250,true,ICN,亚太,KR,韩国,首尔,122 ms,8.00
59.20.66.115,26470,true,ICN,亚太,KR,韩国,首尔,85 ms,7.99
61.41.237.69,10443,true,ICN,亚太,KR,韩国,首尔,113 ms,7.99
222.113.76.221,10000,true,ICN,亚太,KR,韩国,首尔,96 ms,7.98
180.65.214.246,20000,true,KIX,亚太,JP,日本,大阪,135 ms,7.97
118.223.114.241,50003,true,ICN,亚太,KR,韩国,首尔,106 ms,7.96
110.15.107.178,10001,true,ICN,亚太,KR,韩国,首尔,96 ms,7.93
220.118.166.200,10080,true,KIX,亚太,JP,日本,大阪,122 ms,7.78
1.236.13.140,12345,true,KIX,亚太,JP,日本,大阪,104 ms,7.77
61.83.172.34,32101,true,ICN,亚太,KR,韩国,首尔,126 ms,7.73
39.113.220.231,10002,true,NRT,亚太,JP,日本,东京,152 ms,7.72
59.6.234.231,10162,true,KIX,亚太,JP,日本,大阪,119 ms,7.69
211.62.120.110,22533,true,ICN,亚太,KR,韩国,首尔,109 ms,7.62
112.185.168.195,17780,true,ICN,亚太,KR,韩国,首尔,93 ms,7.59
211.51.57.236,10909,true,FUK,亚太,JP,日本,福冈,109 ms,7.59
175.212.228.178,50013,true,ICN,亚太,KR,韩国,首尔,122 ms,7.56
118.34.79.112,50003,true,ICN,亚太,KR,韩国,首尔,98 ms,7.53
125.136.10.202,29842,true,FUK,亚太,JP,日本,福冈,160 ms,7.52
125.136.51.42,28017,true,KIX,亚太,JP,日本,大阪,104 ms,7.51
220.93.164.196,10230,true,FUK,亚太,JP,日本,福冈,147 ms,7.48
114.201.80.59,30001,true,ICN,亚太,KR,韩国,首尔,89 ms,7.44
182.226.53.214,12589,true,ICN,亚太,KR,韩国,首尔,89 ms,7.42
211.194.173.59,50003,true,ICN,亚太,KR,韩国,首尔,93 ms,7.41
211.197.125.77,50003,true,ICN,亚太,KR,韩国,首尔,82 ms,7.39
175.207.220.139,10909,true,ICN,亚太,KR,韩国,首尔,98 ms,7.39
211.195.14.28,50003,true,ICN,亚太,KR,韩国,首尔,94 ms,7.37
121.146.38.125,13333,true,KIX,亚太,JP,日本,大阪,323 ms,7.31
119.207.213.167,12345,true,KIX,亚太,JP,日本,大阪,128 ms,7.29
1.224.124.211,30012,true,ICN,亚太,KR,韩国,首尔,86 ms,7.23
183.102.23.76,34567,true,FUK,亚太,JP,日本,福冈,101 ms,7.22
220.125.55.47,24472,true,FUK,亚太,JP,日本,福冈,95 ms,7.21
1.252.14.205,33890,true,NRT,亚太,JP,日本,东京,134 ms,7.14
220.87.251.17,20201,true,ICN,亚太,KR,韩国,首尔,104 ms,7.11
124.216.234.166,30060,true,ICN,亚太,KR,韩国,首尔,92 ms,7.10
203.232.200.91,50003,true,ICN,亚太,KR,韩国,首尔,92 ms,7.03
121.168.110.73,10002,true,FUK,亚太,JP,日本,福冈,101 ms,7.03
121.174.102.21,12530,true,ICN,亚太,KR,韩国,首尔,91 ms,7.01
80.209.242.180,3030,true,EWR,北美洲,US,美国,纽瓦克,251 ms,7.00
118.42.194.47,20201,true,KIX,亚太,JP,日本,大阪,132 ms,6.98
175.195.244.202,50003,true,ICN,亚太,KR,韩国,首尔,85 ms,6.97
219.249.144.205,10001,true,KIX,亚太,JP,日本,大阪,152 ms,6.96
211.34.21.48,10001,true,ICN,亚太,KR,韩国,首尔,100 ms,6.93
222.116.56.241,10134,true,ICN,亚太,KR,韩国,首尔,116 ms,6.92
211.226.24.204,30327,true,ICN,亚太,KR,韩国,首尔,98 ms,6.83
125.135.43.66,50003,true,ICN,亚太,KR,韩国,首尔,91 ms,6.82
118.41.13.65,50003,true,ICN,亚太,KR,韩国,首尔,92 ms,6.77
221.153.42.212,12349,true,ICN,亚太,KR,韩国,首尔,81 ms,6.73
113.131.68.165,10000,true,ICN,亚太,KR,韩国,首尔,109 ms,6.72
61.83.166.150,27571,true,FUK,亚太,JP,日本,福冈,101 ms,6.70
14.42.61.5,18080,true,KIX,亚太,JP,日本,大阪,133 ms,6.60
211.216.164.214,50003,true,ICN,亚太,KR,韩国,首尔,120 ms,6.49
112.171.197.251,27017,true,FUK,亚太,JP,日本,福冈,116 ms,6.49
111.91.159.44,50005,true,ICN,亚太,KR,韩国,首尔,94 ms,6.45
218.148.35.119,21303,true,KIX,亚太,JP,日本,大阪,108 ms,6.44
211.213.244.66,12174,true,ICN,亚太,KR,韩国,首尔,87 ms,6.44
59.13.75.15,31337,true,FUK,亚太,JP,日本,福冈,101 ms,6.44
183.106.123.243,50004,true,ICN,亚太,KR,韩国,首尔,78 ms,6.44
121.139.73.157,50003,true,ICN,亚太,KR,韩国,首尔,99 ms,6.43
121.179.212.16,10081,true,KIX,亚太,JP,日本,大阪,129 ms,6.43
121.167.15.173,50003,true,ICN,亚太,KR,韩国,首尔,88 ms,6.42
116.124.215.160,50010,true,ICN,亚太,KR,韩国,首尔,86 ms,6.40
121.153.36.122,30073,true,ICN,亚太,KR,韩国,首尔,83 ms,6.37
123.212.61.199,30007,true,ICN,亚太,KR,韩国,首尔,84 ms,6.37
220.86.189.63,10443,true,KIX,亚太,JP,日本,大阪,135 ms,6.36
61.251.10.43,30012,true,ICN,亚太,KR,韩国,首尔,106 ms,6.28
121.188.30.164,26470,true,FUK,亚太,JP,日本,福冈,109 ms,6.27
1.236.233.194,50003,true,ICN,亚太,KR,韩国,首尔,87 ms,6.26
112.168.173.214,50003,true,ICN,亚太,KR,韩国,首尔,93 ms,6.18
211.210.162.182,30005,true,ICN,亚太,KR,韩国,首尔,116 ms,6.14
115.139.228.83,10002,true,NRT,亚太,JP,日本,东京,150 ms,6.09
49.171.48.200,50003,true,ICN,亚太,KR,韩国,首尔,95 ms,6.08
110.76.73.130,16923,true,KIX,亚太,JP,日本,大阪,286 ms,6.05
14.42.237.65,50003,true,ICN,亚太,KR,韩国,首尔,79 ms,6.03
180.65.124.227,10001,true,KIX,亚太,JP,日本,大阪,132 ms,5.98
121.142.128.120,50003,true,ICN,亚太,KR,韩国,首尔,89 ms,5.96
175.208.103.63,15044,true,ICN,亚太,KR,韩国,首尔,138 ms,5.95
222.118.166.49,10443,true,ICN,亚太,KR,韩国,首尔,118 ms,5.87
175.194.187.210,50002,true,ICN,亚太,KR,韩国,首尔,96 ms,5.85
218.50.152.204,32768,true,KIX,亚太,JP,日本,大阪,123 ms,5.81
118.33.59.23,50001,true,ICN,亚太,KR,韩国,首尔,94 ms,5.80
121.174.123.188,30025,true,ICN,亚太,KR,韩国,首尔,138 ms,5.74
121.145.197.116,28017,true,FUK,亚太,JP,日本,福冈,106 ms,5.73
140.83.83.65,9872,true,KIX,亚太,JP,日本,大阪,203 ms,5.72
210.123.139.116,10443,true,ICN,亚太,KR,韩国,首尔,80 ms,5.69
1.11.62.95,50003,true,ICN,亚太,KR,韩国,首尔,100 ms,5.66
203.243.45.229,50002,true,ICN,亚太,KR,韩国,首尔,98 ms,5.61
211.219.241.28,31337,true,ICN,亚太,KR,韩国,首尔,122 ms,5.61
122.32.191.2,18080,true,NRT,亚太,JP,日本,东京,139 ms,5.58
221.164.132.47,50000,true,ICN,亚太,KR,韩国,首尔,93 ms,5.56
107.172.132.165,43333,true,BUF,北美洲,US,美国,布法罗,239 ms,5.54
49.166.108.89,10250,true,NRT,亚太,JP,日本,东京,164 ms,5.52
121.176.15.93,50022,true,ICN,亚太,KR,韩国,首尔,116 ms,5.50
